Ticker,Cluster_coefficient,ER_Cluster_Mean,ER_Cluster_Std,DP_Cluster_Mean,DP_Cluster_Std
VNOM,0.8571428571428571,0.03731669965439775,0.010967770696354394,0.23957142857142855,0.10492567441886803
ARMK,0.9,0.03633856323433812,0.011775260176884808,0.239,0.1607633193388493
WAL,0.5507951963648167,0.03698137728499593,0.01214075086904355,0.1989435248296008,0.020568276389418796
MLI,0.7560975609756098,0.036724371929303105,0.011592635981047603,0.21974912891986062,0.03370748084513694
BRX,0.4393939393939394,0.03611597884508704,0.010969131381730007,0.22520454545454544,0.03951207768259209
INGR,0.6190476190476191,0.036061957145226343,0.010961896493968391,0.24214285714285713,0.12250589687684234
CSWI,0.4666666666666667,0.03698737005417425,0.01184574987896689,0.23340833333333336,0.06661812077567446
KRG,0.42857142857142855,0.03634586877802799,0.011953542795248897,0.24446428571428572,0.11078682875462742
SLG,0.48484848484848486,0.03670574497345928,0.011663515748339242,0.2335151515151515,0.07813666015957693
ABCB,0.5105112279025322,0.0370388448782315,0.011791983824563233,0.19195532728141423,0.018319330542066824
CNS,0.43790849673202614,0.036279369858482555,0.0112140712294325,0.23345098039215684,0.057932629357184164
SBRA,0.475,0.037275100757772024,0.011147405019463938,0.23345000000000002,0.06355770233394545
CNK,0.6263157894736842,0.037062794767433335,0.011896254250403191,0.2311578947368421,0.0558833218441941
CDP,0.43137254901960786,0.036701972707591485,0.011019784493130664,0.23302614379084968,0.05829249596168445
AKR,0.4448087431693989,0.03675132282886406,0.011942502539068428,0.20821311475409834,0.0250137438077172
UE,0.44086021505376344,0.03696303516447907,0.011462614445745938,0.22599569892473118,0.04245326629859442
AAT,0.6,0.03683205546173419,0.012311301595042937,0.23760000000000003,0.1394956356510806
PRM,0.3790849673202614,0.03727380317398077,0.011331829481931496,0.22900653594771242,0.05915898628791284
SASR,0.49157509157509155,0.036686927058061466,0.011594727731131288,0.1926105006105006,0.018506414792672145
QCRH,0.5104895104895105,0.036368178906332774,0.011561807813682214,0.19937962037962037,0.02194162774523747
FBMS,0.5388151174668029,0.03647478046937914,0.01134839926678587,0.1938590398365679,0.019096482152703837
DTE,0.6666666666666666,0.036462709555624785,0.011395299649992136,0.24033333333333332,0.19790893290476125
CMS,0.4888888888888889,0.037587603119456164,0.01148101838898726,0.2384,0.08870522678644446
EPRT,0.28678678678678676,0.036927242233049974,0.011778074246909277,0.22171021021021023,0.0370079217083084
EFC,1.0,0.03803968244656195,0.01147090286892187,0.245,0.4303024054780082
RDW,0.6666666666666666,0.03640464809514361,0.011391037894134126,0.2348,0.13852932034344584
KEY,0.716500553709856,0.03688457360926864,0.012329395339480772,0.21747508305647842,0.033129966646719224
MSTR,0.3333333333333333,0.036432155080559796,0.011462294384951166,0.23466666666666666,0.2609804158248484
OWL,0.0,0.037283118811711785,0.011491494196487232,0.215,0.41102791139282013
RJF,0.41818181818181815,0.03643352761186404,0.011294338523642079,0.2389090909090909,0.08746104594918509
MIR,0.9333333333333333,0.03612054459924464,0.012231391586485486,0.243,0.13394877979639186
TGNA,1.0,0.037153293352893316,0.011652768434331136,0.232,0.4223202035829619
HIG,0.16666666666666666,0.03692209662140074,0.011523831071533696,0.23766666666666666,0.19564011048506486
EHC,0.047619047619047616,0.036151588696288595,0.011592843850068106,0.2338095238095238,0.11885823154768999
HLNE,0.6,0.037153235835932844,0.011565605750891396,0.23810000000000003,0.15710847549725976
BKH,0.5333333333333333,0.03683230977671497,0.01171626457530041,0.23577777777777778,0.08757199346380332
MRVL,0.0,0.036697590542666955,0.01153495076428944,0.221,0.41512809027013736
CRDO,0.0,0.03698093834591462,0.011890001050452195,0.231,0.42168331341993703
IONQ,0.3333333333333333,0.037023073679307725,0.011564182853026198,0.239,0.19213515013114055
GHC,0.6043956043956044,0.03663135384702836,0.011737962761879385,0.23215384615384616,0.06978190570642119
